[I][2017-05-13 16:36:01] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:36:01] 1 | 25.4902 | 0.333333 | 0 | 0 | 1e+07 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:36:02] 2 | 25.4902 | 0.333333 | 3.03329e-11 | 7.78782e-10 | 1e+07 | -5.71021e-11 | 3.03329e-11 | 0 | 1.62259e-08 | 1.34752e-08 | -9.60324e-10 | -1.01786e-08 | 
[I][2017-05-13 16:36:02] 3 | 25.4902 | 0.333354 | -3.2976e-09 | -2.55724e-09 | 1e+07 | -3.47908e-09 | -3.32793e-09 | 1.62259e-08 | 3.56966e-08 | 2.35596e-08 | -1.91096e-09 | -2.93203e-08 | 
[I][2017-05-13 16:36:02] 4 | 25.4902 | 0.333406 | -9.54778e-09 | -5.59048e-08 | 9.38022e+06 | -4.21993e-09 | -6.25018e-09 | 5.19225e-08 | 1.42218e-07 | 3.09587e-08 | -2.65628e-09 | -1.96017e-07 | 
[I][2017-05-13 16:36:02] 5 | 25.4902 | 0.333926 | -3.28978e-08 | -2.04459e-07 | 2.13286e+06 | -7.64459e-09 | -2.335e-08 | 1.9414e-07 | 6.25467e-07 | 2.0859e-07 | -1.65249e-08 | -8.05442e-07 | 
[I][2017-05-13 16:36:02] 6 | 25.4902 | 0.335923 | -1.00027e-07 | -4.77735e-07 | 960221 | -2.97103e-08 | -6.71297e-08 | 8.19607e-07 | 1.56416e-06 | 5.77026e-07 | -4.62658e-08 | -1.96396e-06 | 
[I][2017-05-13 16:36:02] 7 | 25.4901 | 0.34068 | -1.85776e-07 | -9.15513e-07 | 578225 | -2.41944e-08 | -8.57489e-08 | 2.38377e-06 | 3.1187e-06 | 1.21688e-06 | -9.30514e-08 | -3.87037e-06 | 
[I][2017-05-13 16:36:03] 8 | 25.49 | 0.35029 | -2.95061e-07 | -1.60475e-06 | 372418 | 3.14632e-08 | -1.09284e-07 | 5.50247e-06 | 5.67449e-06 | 2.32151e-06 | -1.68972e-07 | -6.96678e-06 | 
[I][2017-05-13 16:36:03] 9 | 25.4898 | 0.367589 | -3.60539e-07 | -2.54377e-06 | 253553 | 2.40588e-07 | -6.54785e-08 | 1.1177e-05 | 9.57385e-06 | 4.20373e-06 | -2.86007e-07 | -1.1549e-05 | 
[I][2017-05-13 16:36:03] 10 | 25.4895 | 0.396168 | -2.17898e-07 | -3.69319e-06 | 178346 | 8.11368e-07 | 1.42641e-07 | 2.07508e-05 | 1.5452e-05 | 7.49721e-06 | -4.63112e-07 | -1.81137e-05 | 
[I][2017-05-13 16:36:03] 11 | 25.4891 | 0.440179 | 4.59591e-07 | -4.87701e-06 | 128532 | 2.11542e-06 | 6.77489e-07 | 3.62028e-05 | 2.41283e-05 | 1.32148e-05 | -7.29604e-07 | -2.71162e-05 | 
