[I][2017-05-13 16:36:01] dt, x, y, avg_d, avg_ds, int_d, int_ds, sigma_x, sigma_y, int_s
[I][2017-05-13 16:36:01] 1 | 26.4706 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:36:02] 2 | 26.4706 | 0 | -4.14838e-12 | 4.35735e-10 | 0 | 1.81918e-08 | 0.110597 | -0.01995 | 0.545754 | 
[I][2017-05-13 16:36:02] 3 | 26.4706 | 1.88934e-05 | -3.33994e-09 | -2.6924e-09 | 1.81918e-08 | 3.9438e-08 | 0.132306 | -0.0397215 | 1.18314 | 
[I][2017-05-13 16:36:02] 4 | 26.4706 | 6.79216e-05 | -5.31844e-09 | -1.76164e-08 | 5.76298e-08 | 1.39548e-07 | 0.286025 | -0.0525168 | 4.00211 | 
[I][2017-05-13 16:36:02] 5 | 26.4706 | 0.000558025 | -1.33797e-08 | -6.32612e-08 | 1.97178e-07 | 6.2918e-07 | 0.401583 | -0.07355 | 4.00211 | 
[I][2017-05-13 16:36:02] 6 | 26.4705 | 0.00243607 | -4.5666e-08 | -1.55194e-07 | 8.26358e-07 | 1.57622e-06 | 0.483792 | -0.0932011 | 4.51498 | 
[I][2017-05-13 16:36:02] 7 | 26.4704 | 0.00690635 | -6.24356e-08 | -2.65536e-07 | 2.40258e-06 | 3.16224e-06 | 0.65965 | -0.112012 | 5.42979 | 
[I][2017-05-13 16:36:03] 8 | 26.4701 | 0.0159397 | -4.98876e-08 | -4.36425e-07 | 5.56482e-06 | 5.70943e-06 | 0.860029 | -0.130913 | 6.35009 | 
[I][2017-05-13 16:36:03] 9 | 26.4695 | 0.0322018 | 7.87192e-08 | -6.16825e-07 | 1.12742e-05 | 9.50936e-06 | 1.14847 | -0.150556 | 7.26859 | 
[I][2017-05-13 16:36:03] 10 | 26.4687 | 0.0590712 | 5.0463e-07 | -7.30766e-07 | 2.07836e-05 | 1.49336e-05 | 1.60093 | -0.171787 | 8.18748 | 
[I][2017-05-13 16:36:03] 11 | 26.4673 | 0.100452 | 1.55506e-06 | -6.29459e-07 | 3.57172e-05 | 2.23041e-05 | 2.30211 | -0.196721 | 9.08716 | 
[I][2017-05-13 16:36:03] 12 | 26.4653 | 0.16 | 3.94784e-06 | 1.69452e-07 | 5.80212e-05 | 3.14243e-05 | 3.37899 | -0.229974 | 9.90536 | 
[I][2017-05-13 16:36:03] 13 | 26.4626 | 0.238567 | 8.58095e-06 | 2.01907e-06 | 8.94453e-05 | 4.14076e-05 | 4.88298 | -0.277798 | 10.5755 | 
[I][2017-05-13 16:36:03] 14 | 26.4593 | 0.33182 | 1.71207e-05 | 5.74913e-06 | 0.000130852 | 4.89283e-05 | 6.66065 | -0.344953 | 11.0208 | 
[I][2017-05-13 16:36:03] 15 | 26.4558 | 0.43025 | 3.16063e-05 | 1.14721e-05 | 0.000179779 | 5.13711e-05 | 8.25294 | -0.442136 | 11.2391 | 
[I][2017-05-13 16:36:03] 16 | 26.4525 | 0.526074 | 5.34724e-05 | 1.84346e-05 | 0.000231149 | 5.13897e-05 | 9.55942 | -0.589442 | 11.329 | 
[I][2017-05-13 16:36:03] 17 | 26.4498 | 0.617166 | 8.49079e-05 | 2.72842e-05 | 0.000282536 | 5.31667e-05 | 10.7023 | -0.795772 | 11.47 | 
[I][2017-05-13 16:36:03] 18 | 26.4476 | 0.705813 | 0.00012869 | 3.86377e-05 | 0.0003357 | 6.08133e-05 | 11.5669 | -1.06822 | 11.8621 | 
[I][2017-05-13 16:36:03] 19 | 26.4462 | 0.794233 | 0.000185135 | 5.02608e-05 | 0.00039651 | 7.56524e-05 | 11.9098 | -1.47 | 12.5375 | 
[I][2017-05-13 16:36:04] 20 | 26.4454 | 0.88276 | 0.000261941 | 6.88357e-05 | 0.00047216 | 0.000106109 | 12.1669 | -2.00858 | 13.6958 | 
[I][2017-05-13 16:36:04] 21 | 26.4454 | 0.97648 | 0.000374659 | 0.000101169 | 0.000578267 | 0.000167253 | 12.4351 | -2.74777 | 15.4447 | 
[I][2017-05-13 16:36:04] 22 | 26.4468 | 1.08401 | 0.000535679 | 0.000143711 | 0.000745523 | 0.000268285 | 12.4297 | -3.84366 | 17.5079 | 
[I][2017-05-13 16:36:04] 23 | 26.4503 | 1.21081 | 0.000746255 | 0.000185089 | 0.00101382 | 0.000448748 | 12.2111 | -5.67401 | 20.0963 | 
[I][2017-05-13 16:36:04] 24 | 26.4575 | 1.36185 | 0.000978752 | 0.000197745 | 0.00146262 | 0.00079255 | 11.9395 | -8.01027 | 23.418 | 
[I][2017-05-13 16:36:04] 25 | 26.4721 | 1.52783 | 0.00127355 | 0.000267975 | 0.00225527 | 0.00176596 | 13.1884 | -10.032 | 29.0192 | 
[I][2017-05-13 16:36:04] 26 | 26.5176 | 1.44697 | 9.13537e-05 | -0.00110748 | 0.00402133 | 0.00591874 | -30.8118 | -12.9665 | 39.9735 | 
[I][2017-05-13 16:36:04] 27 | 26.2851 | 2.86452 | -0.00117596 | -0.00137727 | 0.00993997 | 0.0483716 | -29.8472 | -8.16637 | 69.7652 | 
[I][2017-05-13 16:36:04] 28 | 24.827 | 7.31331 | -0.00100501 | -0.000204594 | 0.0583081 | 0.00387562 | -2.96954 | 4.7063 | 35.1978 | 
[I][2017-05-13 16:36:04] 29 | 24.7428 | 8.88893 | -0.000823901 | -0.00017794 | 0.0621833 | 0.00323901 | -3.25557 | 2.89557 | 33.0346 | 
[I][2017-05-13 16:36:04] 30 | 24.6834 | 10.5763 | -0.000627041 | -0.00011681 | 0.0654279 | 0.00257179 | -3.11791 | 1.5958 | 30.4801 | 
[I][2017-05-13 16:36:04] 31 | 24.6484 | 12.2854 | -0.000423052 | -4.85618e-05 | 0.0680098 | 0.00202411 | -2.78168 | 0.15074 | 28.4471 | 
[I][2017-05-13 16:36:04] 32 | 24.6326 | 13.975 | -0.000243885 | 0.000104 | 0.0700457 | 0.000624817 | 0.806876 | 2.45829 | 21.0501 | 
[I][2017-05-13 16:36:04] 33 | 24.6342 | 14.7962 | -0.00013136 | 6.6221e-05 | 0.0706741 | 0.000381365 | -0.352962 | 1.2604 | 18.2418 | 
[I][2017-05-13 16:36:04] 34 | 24.6347 | 15.3058 | -0.000102671 | 0.000107193 | 0.0710579 | 0.000741673 | 4.67311 | 0.695144 | 22.7295 | 
[I][2017-05-13 16:36:04] 35 | 24.642 | 14.9058 | 0.316291 | 1.64496 | 0.0717952 | 3.02333e+07 | 41883 | 47419.7 | 14947.9 | 
[I][2017-05-13 16:36:04] 36 | 7.61564e+08 | -2.86066e+09 | 0.160597 | -0.845152 | 3.02773e+07 | 8.32406e+06 | -25680.3 | -22683.7 | 10621.3 | 
[I][2017-05-13 16:36:04] 37 | -1.96176e+15 | 2.09347e+16 | 2.66016 | 0.76475 | 3.86297e+07 | 1711.64 | 22945 | 22945.5 | 1113.51 | 
[I][2017-05-13 16:36:04] 38 | -1.96176e+15 | -3.36787e+24 | -0.92574 | -3.21344 | 3.84829e+07 | 4495.41 | -96399 | -96414.4 | 1393.57 | 
[I][2017-05-13 16:36:04] 39 | -1.96176e+15 | -1.39412e+31 | -1.78014e+14 | 1.12902e+13 | 3.84783e+07 | 1.40567e+22 | 3.38529e+17 | 3.38529e+17 | 1.15207e+08 | 
[I][2017-05-13 16:36:05] 40 | -1.96176e+15 | 7.53475e+40 | -1.9116e+14 | -63306.8 | 1.40596e+22 | 3.56907e+24 | -1.91162e+14 | -1.91162e+14 | 4.8162e+08 | 
[I][2017-05-13 16:36:05] 41 | -1.96176e+15 | 1.69544e+43 | -1.91159e+14 | -141.161 | 3.58306e+24 | 1.83158e+28 | -1.91159e+14 | -1.91159e+14 | 2.42218e+09 | 
[I][2017-05-13 16:36:05] 42 | -1.96176e+15 | -4.25703e+47 | -1.91158e+14 | -2.46781 | 1.83183e+28 | 5.95829e+33 | -1.91158e+14 | -1.91158e+14 | 1.33705e+11 | 
[I][2017-05-13 16:36:12] 43 | -1.96176e+15 | -4.1648e+47 | -2.04157e+14 | -4.49878 | 7.67421e+33 | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:12] 44 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:12] 45 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:12] 46 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:13] 47 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:13] 48 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:13] 49 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:13] 50 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:13] 51 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:14] 52 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:14] 53 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:14] 54 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:14] 55 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:14] 56 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:14] 57 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:14] 58 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:15] 59 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:15] 60 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:15] 61 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:15] 62 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:15] 63 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:15] 64 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:15] 65 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:16] 66 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:16] 67 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:16] 68 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:16] 69 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:16] 70 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:16] 71 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:17] 72 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:17] 73 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:17] 74 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:17] 75 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:17] 76 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:17] 77 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:18] 78 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:18] 79 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:36:18] 80 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
