[I][2017-05-13 16:34:51] time, dt, force, avg_sigma, sqr, press, max_y, max_x, err, nK, dV, Sqr
[I][2017-05-13 16:34:52] 28 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.14807 | 50 | 0.00900986 | 21 | 7867.75 | 50.0729 | 7867.75 | 7853.98 | 
[I][2017-05-13 16:34:52] 29 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.24983 | 50 | 0.00896477 | 21 | 7868.51 | 50.0736 | 7868.51 | 7853.98 | 
[I][2017-05-13 16:34:52] 30 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.34789 | 50 | 0.00878071 | 21 | 7869.24 | 50.0739 | 7869.24 | 7853.98 | 
[I][2017-05-13 16:34:52] 31 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.44267 | 50 | 0.00865564 | 21 | 7869.94 | 50.0738 | 7869.94 | 7853.98 | 
[I][2017-05-13 16:34:52] 32 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.53452 | 50 | 0.00859222 | 21 | 7870.62 | 50.0734 | 7870.62 | 7853.98 | 
[I][2017-05-13 16:34:52] 33 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.62379 | 50 | 0.00855565 | 21 | 7871.26 | 50.0726 | 7871.26 | 7853.98 | 
[I][2017-05-13 16:34:52] 34 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.71079 | 50 | 0.00854053 | 21 | 7871.89 | 50.0714 | 7871.89 | 7853.98 | 
[I][2017-05-13 16:34:52] 35 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.7958 | 50 | 0.00854308 | 21 | 7872.48 | 50.07 | 7872.48 | 7853.98 | 
[I][2017-05-13 16:34:52] 36 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.87909 | 50 | 0.00854755 | 21 | 7873.05 | 50.0682 | 7873.05 | 7853.98 | 
[I][2017-05-13 16:34:52] 37 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 4.96088 | 50 | 0.00769969 | 22 | 7873.6 | 50.0661 | 7873.6 | 7853.98 | 
[I][2017-05-13 16:34:52] 38 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.01409 | 50 | 0.00979914 | 21 | 7873.8 | 50.0626 | 7873.8 | 7853.98 | 
[I][2017-05-13 16:34:52] 39 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.07711 | 50 | 0.00994131 | 21 | 7874.06 | 50.0599 | 7874.06 | 7853.98 | 
[I][2017-05-13 16:34:52] 40 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.1398 | 50 | 0.00982613 | 21 | 7874.32 | 50.0568 | 7874.32 | 7853.98 | 
[I][2017-05-13 16:34:52] 41 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.20512 | 50 | 0.00982843 | 21 | 7874.61 | 50.0538 | 7874.61 | 7853.98 | 
[I][2017-05-13 16:34:52] 42 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.27147 | 50 | 0.00980679 | 21 | 7874.9 | 50.0506 | 7874.9 | 7853.98 | 
[I][2017-05-13 16:34:52] 43 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.33883 | 50 | 0.00980216 | 21 | 7875.2 | 50.0474 | 7875.2 | 7853.98 | 
[I][2017-05-13 16:34:52] 44 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.4069 | 50 | 0.00979596 | 21 | 7875.5 | 50.0439 | 7875.5 | 7853.98 | 
[I][2017-05-13 16:34:52] 45 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.47556 | 50 | 0.00977704 | 21 | 7875.8 | 50.0403 | 7875.8 | 7853.98 | 
[I][2017-05-13 16:34:52] 46 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.54467 | 50 | 0.00980864 | 21 | 7876.09 | 50.0365 | 7876.09 | 7853.98 | 
