[I][2017-05-13 16:38:29] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:38:29] 1 | 25.4902 | 0.333333 | 0 | 0 | 1e+07 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:38:30] 2 | 25.4902 | 0.333333 | -7.30779e-10 | 8.48696e-11 | 1e+07 | -8.25688e-10 | -7.30779e-10 | 0 | 1.61524e-08 | 1.23896e-08 | -9.60698e-10 | -1.11743e-08 | 
[I][2017-05-13 16:38:30] 3 | 25.4902 | 0.333353 | -1.78721e-09 | 5.00375e-10 | 1e+07 | -2.0636e-09 | -1.05643e-09 | 1.61524e-08 | 3.54307e-08 | 2.74757e-08 | -1.91531e-09 | -2.40592e-08 | 
[I][2017-05-13 16:38:31] 4 | 25.4902 | 0.3334 | -6.89419e-09 | -5.45694e-08 | 9.55934e+06 | -1.68236e-09 | -5.10699e-09 | 5.15831e-08 | 1.39553e-07 | 3.09496e-08 | -2.64561e-09 | -1.92012e-07 | 
[I][2017-05-13 16:38:32] 5 | 25.4902 | 0.333917 | -2.81503e-08 | -2.02119e-07 | 2.14943e+06 | -3.04158e-09 | -2.12561e-08 | 1.91136e-07 | 6.20646e-07 | 2.08457e-07 | -1.6506e-08 | -7.98309e-07 | 
[I][2017-05-13 16:38:33] 6 | 25.4902 | 0.335912 | -7.83441e-08 | -4.57716e-07 | 973235 | -8.48898e-09 | -5.01938e-08 | 8.11782e-07 | 1.53577e-06 | 5.86662e-07 | -4.60938e-08 | -1.91372e-06 | 
[I][2017-05-13 16:38:33] 7 | 25.4901 | 0.340636 | -1.69252e-07 | -9.0148e-07 | 584026 | -1.02808e-08 | -9.09084e-08 | 2.34755e-06 | 3.07663e-06 | 1.2023e-06 | -9.21316e-08 | -3.8146e-06 | 
[I][2017-05-13 16:38:34] 8 | 25.49 | 0.350025 | -3.00625e-07 | -1.58257e-06 | 376683 | 1.83027e-08 | -1.31372e-07 | 5.42418e-06 | 5.58727e-06 | 2.27846e-06 | -1.66697e-07 | -6.85946e-06 | 
[I][2017-05-13 16:38:35] 9 | 25.4898 | 0.366815 | -4.24921e-07 | -2.52199e-06 | 256487 | 1.59475e-07 | -1.24296e-07 | 1.10114e-05 | 9.42517e-06 | 4.10139e-06 | -2.80982e-07 | -1.13864e-05 | 
[I][2017-05-13 16:38:36] 10 | 25.4896 | 0.394475 | -3.82877e-07 | -3.66767e-06 | 180661 | 6.15256e-07 | 4.20431e-08 | 2.04366e-05 | 1.51832e-05 | 7.2889e-06 | -4.5273e-07 | -1.78392e-05 | 
