[I][2017-05-13 16:38:29] dt, x, y, avg_d, avg_ds, int_d, int_ds, sigma_x, sigma_y, int_s
[I][2017-05-13 16:38:38] 30 | 26.4403 | 1.57773 | 0.000691748 | 3.9958e-05 | 0.00153911 | 0.000174983 | 8.39013 | -6.65227 | 15.6516 | 
[I][2017-05-13 16:38:38] 31 | 26.441 | 1.64711 | 0.000739822 | 3.72714e-05 | 0.00171412 | 0.000187011 | 8.07373 | -7.15171 | 15.9362 | 
[I][2017-05-13 16:38:38] 32 | 26.4418 | 1.71616 | 0.000785263 | 3.43334e-05 | 0.00190116 | 0.000198911 | 7.77427 | -7.62648 | 16.205 | 
[I][2017-05-13 16:38:38] 33 | 26.4427 | 1.7849 | 0.000827874 | 3.12419e-05 | 0.0021001 | 0.000210648 | 7.49521 | -8.07403 | 16.459 | 
[I][2017-05-13 16:38:38] 34 | 26.4438 | 1.85334 | 0.000867551 | 2.80857e-05 | 0.00231079 | 0.000222186 | 7.23902 | -8.49271 | 16.6986 | 
[I][2017-05-13 16:38:38] 35 | 26.4451 | 1.9215 | 0.000904267 | 2.49425e-05 | 0.00253302 | 0.000233488 | 7.00723 | -8.88174 | 16.9246 | 
[I][2017-05-13 16:38:38] 36 | 26.4465 | 1.98938 | 0.000938059 | 2.1878e-05 | 0.00276656 | 0.000244527 | 6.80058 | -9.2411 | 17.1376 | 
[I][2017-05-13 16:38:38] 37 | 26.4481 | 2.057 | 0.000969022 | 1.89451e-05 | 0.00301114 | 0.000255276 | 6.61911 | -9.57136 | 17.3383 | 
[I][2017-05-13 16:38:39] 38 | 26.4498 | 2.12435 | 0.00099729 | 1.61844e-05 | 0.00326648 | 0.000265719 | 6.46228 | -9.87358 | 17.5273 | 
[I][2017-05-13 16:38:39] 39 | 26.4516 | 2.19143 | 0.00100657 | 8.11414e-07 | 0.00353227 | 0.000217412 | 5.83102 | -10.1796 | 16.6335 | 
