[I][2017-05-13 16:35:50] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:35:50] -nan | 25.4902 | 0.333333 | 0 | 0 | 1e+07 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:35:50] -nan | 25.4902 | 0.333333 | 3.03329e-11 | 7.78782e-10 | 1e+07 | -5.71021e-11 | 3.03329e-11 | 0 | 1.62259e-08 | 1.34752e-08 | -9.60324e-10 | -1.01786e-08 | 
[I][2017-05-13 16:35:50] -nan | 25.4902 | 0.333354 | -3.17632e-09 | -2.46548e-09 | 1e+07 | -3.35451e-09 | -3.20665e-09 | 1.62259e-08 | 3.57047e-08 | 2.37192e-08 | -1.91079e-09 | -2.92049e-08 | 
[I][2017-05-13 16:35:50] -nan | 25.4902 | 0.333407 | -9.09352e-09 | -5.55898e-08 | 9.41935e+06 | -3.76037e-09 | -5.9172e-09 | 5.19306e-08 | 1.41627e-07 | 3.09952e-08 | -2.65687e-09 | -1.95108e-07 | 
[I][2017-05-13 16:35:50] -nan | 25.4902 | 0.333926 | -3.13179e-08 | -2.03512e-07 | 2.13811e+06 | -6.03974e-09 | -2.22244e-08 | 1.93558e-07 | 6.23931e-07 | 2.08932e-07 | -1.65376e-08 | -8.02931e-07 | 
[I][2017-05-13 16:35:50] -nan | 25.4902 | 0.335926 | -6.90674e-08 | -4.50447e-07 | 974582 | 1.55248e-09 | -3.77495e-08 | 8.17489e-07 | 1.53288e-06 | 5.97357e-07 | -4.63428e-08 | -1.90235e-06 | 
[I][2017-05-13 16:35:51] -nan | 25.4901 | 0.34071 | -8.29199e-08 | -8.56994e-07 | 586144 | 8.05568e-08 | -1.38526e-08 | 2.35037e-06 | 3.06151e-06 | 1.26984e-06 | -9.39397e-08 | -3.74688e-06 | 
[I][2017-05-13 16:35:51] -nan | 25.49 | 0.350477 | -7.30977e-08 | -1.51132e-06 | 376525 | 2.58352e-07 | 9.82219e-09 | 5.41188e-06 | 5.59045e-06 | 2.41312e-06 | -1.71749e-07 | -6.77535e-06 | 
[I][2017-05-13 16:35:51] -nan | 25.4899 | 0.368072 | -2.08739e-08 | -2.45562e-06 | 254801 | 5.88656e-07 | 5.22238e-08 | 1.10023e-05 | 9.5101e-06 | 4.30604e-06 | -2.92353e-07 | -1.13805e-05 | 
[I][2017-05-13 16:35:51] -nan | 25.4896 | 0.396988 | 2.78329e-07 | -3.5626e-06 | 179187 | 1.31915e-06 | 2.99203e-07 | 2.05124e-05 | 1.53534e-05 | 7.64312e-06 | -4.74923e-07 | -1.7856e-05 | 
[I][2017-05-13 16:35:51] -nan | 25.4891 | 0.441285 | 1.14658e-06 | -4.70439e-06 | 129003 | 2.81628e-06 | 8.68255e-07 | 3.58658e-05 | 2.40084e-05 | 1.34145e-05 | -7.50906e-07 | -2.67768e-05 | 
