[I][2017-05-16 18:56:57] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-16 18:56:57] 0.01 | 25.4902 | 0.333333 | 0 | 0 | 1e+07 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-16 18:56:57] 0.02 | 25.4902 | 0.333333 | -5.45847e-15 | 1.4345e-12 | 1e+07 | -8.08395e-15 | -5.45847e-13 | 0 | 1.37367e-10 | 1.10799e-10 | -9.61502e-12 | -9.68802e-11 | 
[I][2017-05-16 18:56:57] 0.03 | 25.4902 | 0.333333 | -1.40128e-13 | -9.35515e-12 | 1e+07 | -1.48173e-13 | -1.3467e-11 | 1.37367e-12 | 2.74099e-10 | 2.03242e-10 | -1.92307e-11 | -2.12076e-10 | 
[I][2017-05-16 18:56:57] 0.04 | 25.4902 | 0.333333 | -4.28171e-13 | -2.24422e-11 | 1e+07 | -4.4456e-13 | -2.88042e-11 | 4.11466e-12 | 4.11029e-10 | 2.92223e-10 | -2.88468e-11 | -3.30702e-10 | 
[I][2017-05-16 18:56:57] 0.05 | 25.4902 | 0.333333 | -8.75938e-13 | -3.6134e-11 | 1e+07 | -9.03631e-13 | -4.47767e-11 | 8.22495e-12 | 5.48059e-10 | 3.80293e-10 | -3.8463e-11 | -4.50232e-10 | 
[I][2017-05-16 18:56:57] 0.06 | 25.4902 | 0.333333 | -1.48375e-12 | -4.98507e-11 | 1e+07 | -1.52572e-12 | -6.07817e-11 | 1.37055e-11 | 6.85134e-10 | 4.68324e-10 | -4.80791e-11 | -5.69797e-10 | 
[I][2017-05-16 18:56:58] 0.07 | 25.4902 | 0.333333 | -2.25121e-12 | -6.35262e-11 | 1e+07 | -2.31042e-12 | -7.6746e-11 | 2.05569e-11 | 8.22231e-10 | 5.56418e-10 | -5.76952e-11 | -6.89301e-10 | 
[I][2017-05-16 18:56:58] 0.08 | 25.4902 | 0.333333 | -3.17807e-12 | -7.71778e-11 | 1e+07 | -3.25749e-12 | -9.26858e-11 | 2.87792e-11 | 9.59339e-10 | 6.44547e-10 | -6.73111e-11 | -8.08769e-10 | 
[I][2017-05-16 18:56:58] 0.09 | 25.4902 | 0.333333 | -4.26422e-12 | -9.08185e-11 | 1e+07 | -4.36681e-12 | -1.08615e-10 | 3.83726e-11 | 1.09645e-09 | 7.32693e-10 | -7.6927e-11 | -9.28221e-10 | 
[I][2017-05-16 18:56:58] 0.1 | 25.4902 | 0.333333 | -5.50959e-12 | -1.04454e-10 | 1e+07 | -5.63833e-12 | -1.24538e-10 | 4.93371e-11 | 1.23357e-09 | 8.20847e-10 | -8.65428e-11 | -1.04766e-09 | 
