[I][2017-05-13 16:36:15] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:36:17] 22 | 25.5134 | 1.70725 | 0.00124612 | 0.000209906 | 3808.58 | 0.00130442 | 0.000417456 | 0.00168742 | 0.00289584 | 0.000746803 | -0.00242781 | 0.00231073 | 
[I][2017-05-13 16:36:17] 23 | 25.5724 | 1.88583 | 0.0016394 | 0.000395145 | 2791.29 | 0.00169796 | 0.000393282 | 0.00458326 | 0.00441969 | 0.00202934 | -0.003958 | 0.0031141 | 
[I][2017-05-13 16:36:17] 24 | 25.652 | 1.51401 | -0.0013281 | -0.00384494 | 176.978 | -0.0011751 | -0.00296751 | 0.00900295 | 0.188438 | -0.0831318 | 0.18384 | -0.112243 | 
[I][2017-05-13 16:36:17] 25 | 22.7727 | 24.2795 | 0.0822047 | 0.622759 | 0.184629 | 0.0228278 | 0.0835328 | 0.197441 | 2146.8 | -954.928 | -1186.05 | 2142.85 | 
[I][2017-05-13 16:36:17] 26 | 48821.3 | -351440 | 0.0550438 | -0.12558 | 0.119623 | 0.0119904 | -0.0271609 | 2147 | 3874.67 | -814.165 | 1536.73 | -722.944 | 
[I][2017-05-13 16:36:17] 27 | -3.52462e+07 | 1.53361e+09 | 0.0541016 | -0.000812642 | 5603.32 | -0.001996 | -0.000942196 | 6021.67 | 0.00171252 | 0 | -0.00243793 | -0 | 
[I][2017-05-13 16:36:17] 28 | -3.52462e+07 | -2.04579e+13 | -1.59149 | -3.70883 | 1.04685 | -1.1279 | -1.64559 | 6021.67 | 202.539 | 0 | -11.1265 | -0 | 
[I][2017-05-13 16:36:17] 29 | -3.52462e+07 | -4.25141e+16 | 0.427768 | -4.05937 | 0.281105 | 0.696784 | 2.01926 | 6224.21 | 1211.71 | 0 | -12.1781 | -0 | 
[I][2017-05-13 16:36:17] 30 | -3.52462e+07 | -7.74647e+19 | 77.4695 | 1648.12 | 0.00140467 | 5.19575 | 77.0417 | 7435.92 | 1.63837e+06 | 0 | 4944.35 | -0 | 
[I][2017-05-13 16:36:17] 31 | -3.52462e+07 | -8.95527e+22 | 2.00413e+08 | -2.21669e+09 | 4.48163e-12 | 7.55945e+08 | 2.00413e+08 | 1.6458e+06 | 5.93997e+17 | 0 | -6.65007e+09 | -0 | 
