[I][2016-11-29 14:31:08] time, dt, H, s, e_min, e_max, ee_min, ee_max, s_min, s_max,   P=1.4
[I][2016-11-29 14:31:08] 0, 0.1, 1, 1, 0, 0, 1e+07, 0, 1e+07, 0, -1, 1, 
[I][2016-11-29 14:31:11] 3.6, 0.1, 5.66949, 1.00334, 0.0032059, 0.0156913, 8807.35, 0.0027325, -nan(ind), 68.7573, -1, 1, 
[I][2016-11-29 14:31:11] 3.7, 0.1, 5.75183, 1.00306, 0.00326452, 0.0159648, 8764.76, 0.00275388, -nan(ind), 69.1152, -1, 1, 
[I][2016-11-29 14:31:11] 3.8, 0.1, 5.83262, 1.00278, 0.00332273, 0.0162405, 8723.12, 0.00277296, -nan(ind), 69.4478, -1, 1, 
[I][2016-11-29 14:31:11] 3.9, 0.1, 5.91199, 1.0025, 0.00338065, 0.0165182, 8681.69, 0.00279055, -nan(ind), 69.7656, -1, 1, 
[I][2016-11-29 14:31:11] 4, 0.1, 5.99011, 1.00222, 0.00343836, 0.0167976, 8639.92, 0.00280739, -nan(ind), 70.0782, -1, 1, 
[I][2016-11-29 14:31:11] 4.1, 0.1, 6.0671, 1.00194, 0.00349594, 0.0170786, 8597.39, 0.00282416, -nan(ind), 70.3937, -1, 1, 
[I][2016-11-29 14:31:11] 4.2, 0.1, 6.14309, 1.00166, 0.00355345, 0.0173614, 8553.87, 0.00284144, -nan(ind), 70.719, -1, 1, 
[I][2016-11-29 14:31:11] 4.3, 0.1, 6.21818, 1.00137, 0.00361095, 0.0176459, 8509.25, 0.00285973, -nan(ind), 71.0593, -1, 1, 
[I][2016-11-29 14:31:11] 4.4, 0.1, 6.29249, 1.00109, 0.00366848, 0.0179322, 8463.56, 0.00287943, -nan(ind), 71.4187, -1, 1, 
[I][2016-11-29 14:31:11] 4.5, 0.1, 6.36611, 1.00081, 0.00372606, 0.0182204, 8416.91, 0.00290084, -nan(ind), 71.7998, -1, 1, 
[I][2016-11-29 14:31:11] 4.6, 0.1, 6.43912, 1.00054, 0.00378373, 0.0185108, 8369.5, 0.00292418, -nan(ind), 72.2041, -1, 1, 
[I][2016-11-29 14:31:11] 4.7, 0.1, 6.5116, 1.00026, 0.00384149, 0.0188035, 8321.55, 0.00294959, -nan(ind), 72.632, -1, 1, 
[I][2016-11-29 14:31:11] 4.8, 0.1, 6.58362, 0.999982, 0.00389934, 0.0190987, 8273.29, 0.00297714, -nan(ind), 73.0833, -1, 1, 
[I][2016-11-29 14:31:11] 4.9, 0.1, 6.65523, 0.999708, 0.00395729, 0.0193967, 8224.96, 0.00300684, -nan(ind), 73.557, -1, 1, 
[I][2016-11-29 14:31:11] 5, 0.1, 6.72649, 0.999435, 0.00401533, 0.0196976, 8176.74, 0.00303862, -nan(ind), 74.0519, -1, 1, 
[I][2016-11-29 14:31:11] 5.1, 0.1, 6.79745, 0.999163, 0.00407344, 0.0200016, 8128.82, 0.00307241, -nan(ind), 74.5662, -1, 1, 
[I][2016-11-29 14:31:11] 5.2, 0.1, 6.86814, 0.998892, 0.0041316, 0.0203091, 8081.33, 0.00310809, -nan(ind), 75.0981, -1, 1, 
[I][2016-11-29 14:31:11] 5.3, 0.1, 6.9386, 0.998622, 0.00418979, 0.02062, 8034.35, 0.00314552, -nan(ind), 75.6455, -1, 1, 
[I][2016-11-29 14:31:11] 5.4, 0.1, 7.00884, 0.998352, 0.00424799, 0.0209347, 7987.96, 0.00318454, -nan(ind), 76.2067, -1, 1, 
[I][2016-11-29 14:31:11] 5.5, 0.1, 7.0789, 0.998082, 0.00430614, 0.0212533, 7942.18, 0.00322498, -nan(ind), 76.7797, -1, 1, 
[I][2016-11-29 14:31:11] 5.6, 0.1, 7.14879, 0.997812, 0.00436424, 0.0215759, 7897.02, 0.0032667, -nan(ind), 77.3626, -1, 1, 
[I][2016-11-29 14:31:11] 5.7, 0.1, 7.21853, 0.997542, 0.00442222, 0.0219026, 7852.48, 0.00330952, -nan(ind), 77.9538, -1, 1, 
[I][2016-11-29 14:31:11] 5.8, 0.1, 7.28811, 0.997271, 0.00448006, 0.0222336, 7808.55, 0.00335329, -nan(ind), 78.5517, -1, 1, 
[I][2016-11-29 14:31:11] 5.9, 0.1, 7.35756, 0.996999, 0.00453772, 0.022569, 7765.21, 0.00339786, -nan(ind), 79.1548, -1, 1, 
