[I][2017-04-19 13:54:02] time, dt, force, avg_sigma, sqr, press, max_y, max_x, err, nK, dV, Sqr
[I][2017-04-19 13:54:05] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:08] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:11] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:13] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:16] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:19] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:22] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:24] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:27] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:30] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:33] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:35] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
[I][2017-04-19 13:54:38] -6.27744e+66 | 0.025 | 0 | 0 | 1256.64 | 0 | 75 | 20 | 0 | 4 | 117822 | 1676.78 | 117822 | 117822 | 
