[I][2017-05-13 16:38:06] dt, x, y, avg_d, avg_ds, int_d, int_ds, sigma_x, sigma_y, int_s
[I][2017-05-13 16:38:13] 30 | 17.3559 | 31.4847 | -0.00182417 | 1.94305e-06 | 0.342275 | 5.90515e-07 | 7.30858 | 8.53201 | 4.00211 | 
[I][2017-05-13 16:38:13] 31 | 17.3559 | 31.3308 | -0.00182327 | 8.96392e-07 | 0.342276 | 4.6446e-08 | 17.4864 | 18.056 | 1.39338 | 
[I][2017-05-13 16:38:13] 32 | 17.3559 | 31.1961 | -0.00181688 | 5.78303e-06 | 0.342276 | 1.36773e-06 | 11.5621 | 12.2454 | 4.32446 | 
[I][2017-05-13 16:38:13] 33 | 17.356 | 31.0769 | -0.00180915 | 7.16192e-06 | 0.342277 | 1.9083e-06 | 11.1329 | 11.0053 | 4.74362 | 
[I][2017-05-13 16:38:14] 34 | 17.3562 | 30.9689 | -0.00180388 | 5.15447e-06 | 0.342279 | 1.77892e-06 | 7.99415 | 11.1373 | 4.61087 | 
[I][2017-05-13 16:38:14] 35 | 17.3563 | 30.8696 | -0.00179659 | 7.26809e-06 | 0.342281 | 2.20571e-06 | 11.4361 | 10.5318 | 4.86776 | 
[I][2017-05-13 16:38:14] 36 | 17.3564 | 30.7773 | -0.00178923 | 7.54426e-06 | 0.342283 | 1.53337e-06 | 16.9526 | 16.6824 | 4.42703 | 
[I][2017-05-13 16:38:14] 37 | 17.3565 | 30.6905 | -0.00177802 | 1.13535e-05 | 0.342284 | 3.49155e-06 | 13.4999 | 13.3702 | 5.47897 | 
[I][2017-05-13 16:38:14] 38 | 17.3567 | 30.6084 | -0.00177276 | 4.61341e-06 | 0.342288 | 2.32471e-06 | 5.30179 | 5.99892 | 4.98249 | 
[I][2017-05-13 16:38:14] 39 | 17.3568 | 30.5302 | -0.00176064 | 1.20647e-05 | 0.34229 | 1.07106e-06 | 41.0492 | 41.6867 | 4.22725 | 
[I][2017-05-13 16:38:14] 40 | 17.357 | 30.4554 | -0.00174705 | 1.26775e-05 | 0.342291 | 4.15625e-06 | 11.6362 | 11.8576 | 5.79056 | 
[I][2017-05-13 16:38:14] 41 | 17.3572 | 30.3838 | -0.00173849 | 8.37383e-06 | 0.342295 | 9.22938e-07 | 24.8676 | 27.2434 | 4.06466 | 
[I][2017-05-13 16:38:14] 42 | 17.3574 | 30.3152 | -0.00172615 | 1.32728e-05 | 0.342296 | 5.08347e-06 | 12.1974 | 13.1773 | 6.08551 | 
[I][2017-05-13 16:38:14] 43 | 17.3575 | 30.2495 | -0.00171731 | 9.77354e-06 | 0.342301 | 5.08804e-06 | 9.66083 | 9.66833 | 6.08122 | 
[I][2017-05-13 16:38:14] 44 | 17.3577 | 30.1865 | -0.00171162 | 6.08476e-06 | 0.342307 | 2.96815e-06 | 8.70012 | 8.64269 | 5.20617 | 
[I][2017-05-13 16:38:14] 45 | 17.3577 | 30.1261 | -0.00170845 | 2.80972e-06 | 0.34231 | 8.36825e-07 | 9.29535 | 10.1641 | 4.08113 | 
[I][2017-05-13 16:38:15] 46 | 17.3578 | 30.0681 | -0.00170744 | 9.88268e-07 | 0.34231 | 1.73248e-07 | 13.7666 | 14.9256 | 4.00211 | 
