[I][2017-05-13 16:38:06] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:38:06] 1 | 25.4902 | 0.333333 | 0 | 0 | 1e+07 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:38:06] 2 | 25.4902 | 0.333333 | 3.03329e-11 | 7.78782e-10 | 1e+07 | -5.71021e-11 | 3.03329e-11 | 0 | 1.62259e-08 | 1.34752e-08 | -9.60324e-10 | -1.01786e-08 | 
[I][2017-05-13 16:38:07] 3 | 25.4902 | 0.333354 | -3.35844e-09 | -2.60376e-09 | 1e+07 | -3.54152e-09 | -3.38878e-09 | 1.62259e-08 | 3.56928e-08 | 2.34791e-08 | -1.91104e-09 | -2.93794e-08 | 
[I][2017-05-13 16:38:08] 4 | 25.4902 | 0.333406 | -9.77887e-09 | -5.60662e-08 | 9.36032e+06 | -4.45362e-09 | -6.42043e-09 | 5.19187e-08 | 1.4252e-07 | 3.09396e-08 | -2.65595e-09 | -1.96482e-07 | 
[I][2017-05-13 16:38:08] 5 | 25.4902 | 0.333925 | -3.34315e-08 | -2.04746e-07 | 2.13108e+06 | -8.18257e-09 | -2.36527e-08 | 1.94439e-07 | 6.25991e-07 | 2.08542e-07 | -1.65235e-08 | -8.06256e-07 | 
[I][2017-05-13 16:38:09] 6 | 25.4902 | 0.335923 | -1.14658e-07 | -4.92441e-07 | 951666 | -4.42961e-08 | -8.12266e-08 | 8.2043e-07 | 1.58332e-06 | 5.68208e-07 | -4.62846e-08 | -1.99925e-06 | 
[I][2017-05-13 16:38:10] 7 | 25.4901 | 0.340684 | -2.62806e-07 | -9.68599e-07 | 570938 | -1.02303e-07 | -1.48148e-07 | 2.40375e-06 | 3.17298e-06 | 1.17083e-06 | -9.23291e-08 | -3.9843e-06 | 
[I][2017-05-13 16:38:10] 8 | 25.49 | 0.350179 | -5.27008e-07 | -1.73533e-06 | 366229 | -2.04499e-07 | -2.64202e-07 | 5.57673e-06 | 5.80536e-06 | 2.20564e-06 | -1.6636e-07 | -7.24527e-06 | 
[I][2017-05-13 16:38:11] 9 | 25.4898 | 0.367181 | -9.13653e-07 | -2.81325e-06 | 248646 | -3.22768e-07 | -3.86645e-07 | 1.13821e-05 | 9.83183e-06 | 3.95405e-06 | -2.77522e-07 | -1.21163e-05 | 
[I][2017-05-13 16:38:11] 10 | 25.4895 | 0.39514 | -1.37792e-06 | -4.21106e-06 | 174520 | -3.69686e-07 | -4.64264e-07 | 2.12139e-05 | 1.59147e-05 | 6.99121e-06 | -4.39231e-07 | -1.91852e-05 | 
[I][2017-05-13 16:38:11] 11 | 25.489 | 0.438109 | -1.77115e-06 | -5.82473e-06 | 125613 | -1.51382e-07 | -3.9323e-07 | 3.71286e-05 | 2.48943e-05 | 1.22312e-05 | -6.69082e-07 | -2.90363e-05 | 
[I][2017-05-13 16:38:11] 12 | 25.4883 | 0.500022 | -1.58503e-06 | -7.07051e-06 | 93852.5 | 8.63531e-07 | 1.86117e-07 | 6.20229e-05 | 3.70108e-05 | 2.08218e-05 | -9.95459e-07 | -4.10378e-05 | 
[I][2017-05-13 16:38:12] 13 | 25.4872 | 0.5826 | 5.97087e-07 | -6.42889e-06 | 74607.5 | 4.04518e-06 | 2.18212e-06 | 9.90338e-05 | 5.05738e-05 | 3.36841e-05 | -1.46313e-06 | -5.15077e-05 | 
