[I][2017-05-13 16:37:49] dt, x, y, avg_d, avg_ds, int_d, int_ds, sigma_x, sigma_y, int_s
[I][2017-05-13 16:37:49] 1 | 26.4706 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:37:56] 35 | -1.3474e+07 | 1.72895e+10 | 0.0429887 | -0.00876475 | 29664.9 | 74.5084 | -262.861 | -262.976 | 488.004 | 
[I][2017-05-13 16:37:56] 36 | -1.3474e+07 | 2.0705e+15 | -0.260188 | -0.308573 | 29738.2 | 1.40945 | -9232.25 | -9307.81 | 170.156 | 
[I][2017-05-13 16:37:56] 37 | -1.3474e+07 | 1.05815e+19 | 85.0088 | 62.5585 | 29739.7 | 198119 | 1.87684e+06 | 1.87684e+06 | 3930.68 | 
[I][2017-05-13 16:37:56] 38 | -1.3474e+07 | 1.96504e+23 | -6.68883e+13 | -6.06442e+13 | 184314 | 6.17798e+19 | -1.81939e+18 | -1.81939e+18 | 2.72287e+07 | 
[I][2017-05-13 16:37:56] 39 | -1.3474e+07 | 3.2971e+27 | -6.69948e+13 | -830.433 | 6.12353e+19 | 1.75526e+17 | -6.69949e+13 | -6.69949e+13 | 5.76671e+06 | 
[I][2017-05-13 16:37:56] 40 | -1.3474e+07 | 9.98887e+30 | -6.69948e+13 | 0.0481481 | 6.14108e+19 | 4.66457e+13 | -6.69948e+13 | -6.69948e+13 | 645275 | 
[I][2017-05-13 16:37:56] 41 | -1.3474e+07 | 8.40734e+30 | -6.69948e+13 | -0.149488 | 6.14108e+19 | 6.3957e+13 | -6.69948e+13 | -6.69948e+13 | 701086 | 
[I][2017-05-13 16:37:56] 42 | -1.3474e+07 | 1.25149e+31 | -6.69948e+13 | 1702.36 | 6.14109e+19 | 7.27898e+19 | -6.69948e+13 | -6.69948e+13 | 2.77538e+07 | 
[I][2017-05-13 16:37:57] 43 | -1.3474e+07 | -6.73623e+34 | -6.69948e+13 | 17.3449 | 1.34201e+20 | 5.25346e+19 | -6.69948e+13 | -6.69948e+13 | 2.61832e+07 | 
[I][2017-05-13 16:37:57] 44 | -1.3474e+07 | -4.07277e+36 | -6.69948e+13 | -2.11083e-13 | 1.86735e+20 | 5.49534e+07 | -6.69948e+13 | -6.69948e+13 | 17329.4 | 
