[I][2017-05-13 16:37:49] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:37:49] 1 | 25.4902 | 0.333333 | 0 | 0 | 1e+07 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:37:49] 2 | 25.4902 | 0.333333 | 3.03329e-11 | 7.78782e-10 | 1e+07 | -5.71021e-11 | 3.03329e-11 | 0 | 1.62259e-08 | 1.34752e-08 | -9.60324e-10 | -1.01786e-08 | 
[I][2017-05-13 16:37:50] 3 | 25.4902 | 0.333354 | -3.23689e-09 | -2.51114e-09 | 1e+07 | -3.41674e-09 | -3.26722e-09 | 1.62259e-08 | 3.57006e-08 | 2.36396e-08 | -1.91087e-09 | -2.92622e-08 | 
[I][2017-05-13 16:37:51] 4 | 25.4902 | 0.333407 | -9.31897e-09 | -5.57456e-08 | 9.39996e+06 | -3.98849e-09 | -6.08208e-09 | 5.19264e-08 | 1.41919e-07 | 3.0977e-08 | -2.65658e-09 | -1.95557e-07 | 
[I][2017-05-13 16:37:51] 5 | 25.4902 | 0.333926 | -3.21944e-08 | -2.04048e-07 | 2.13518e+06 | -6.93154e-09 | -2.28754e-08 | 1.93846e-07 | 6.24789e-07 | 2.08727e-07 | -1.65294e-08 | -8.04342e-07 | 
[I][2017-05-13 16:37:52] 6 | 25.4902 | 0.335924 | -7.52805e-08 | -4.54828e-07 | 972219 | -4.79105e-09 | -4.30861e-08 | 8.18635e-07 | 1.53795e-06 | 5.9406e-07 | -4.63302e-08 | -1.91221e-06 | 
[I][2017-05-13 16:37:52] 7 | 25.4901 | 0.340697 | -9.64067e-08 | -8.61721e-07 | 585740 | 6.66456e-08 | -2.11262e-08 | 2.35659e-06 | 3.06438e-06 | 1.26387e-06 | -9.37635e-08 | -3.75527e-06 | 
[I][2017-05-13 16:37:53] 8 | 25.49 | 0.350435 | -1.07595e-07 | -1.53264e-06 | 375185 | 2.23435e-07 | -1.11883e-08 | 5.42097e-06 | 5.61765e-06 | 2.40012e-06 | -1.71597e-07 | -6.82643e-06 | 
[I][2017-05-13 16:37:54] 9 | 25.4899 | 0.368034 | -6.27874e-08 | -2.4677e-06 | 254391 | 5.46835e-07 | 4.48076e-08 | 1.10386e-05 | 9.53097e-06 | 4.30358e-06 | -2.91909e-07 | -1.14148e-05 | 
[I][2017-05-13 16:37:54] 10 | 25.4896 | 0.397003 | 2.18823e-07 | -3.58753e-06 | 178828 | 1.26054e-06 | 2.8161e-07 | 2.05696e-05 | 1.53954e-05 | 7.63751e-06 | -4.74152e-07 | -1.79259e-05 | 
[I][2017-05-13 16:37:54] 11 | 25.4891 | 0.441383 | 1.04489e-06 | -4.75326e-06 | 128725 | 2.71622e-06 | 8.26071e-07 | 3.5965e-05 | 2.40789e-05 | 1.33935e-05 | -7.48945e-07 | -2.69043e-05 | 
