[I][2017-04-16 16:41:23] dt, x, y, avg_d, avg_ds, int_d, int_ds, sigma_x, sigma_y, int_s
[I][2017-04-16 16:41:23] 0.025 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:23] 0.05 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.075 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.1 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.125 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.15 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.175 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.2 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.225 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.25 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.275 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.3 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.325 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.35 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.375 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.4 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.425 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.45 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.475 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.5 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.525 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:24] 0.55 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.575 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.6 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.625 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.65 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.675 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.7 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.725 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.75 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.775 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.8 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.825 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.85 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.875 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.9 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.925 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.95 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 0.975 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 1 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:25] 1.025 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.05 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.075 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.1 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.125 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.15 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.175 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.2 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.225 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.25 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.275 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.3 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.325 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.35 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.375 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.4 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.425 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.45 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.475 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.5 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:26] 1.525 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:27] 1.55 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:27] 1.575 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:27] 1.6 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:27] 1.625 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:27] 1.65 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-04-16 16:41:27] 1.675 | 6.80523 | 63.75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
