[I][2017-05-06 23:12:46] dt, x, y, V_x,V_y, V,Condition, alpha, beta, AngleS 
[I][2017-05-06 23:12:46] 20 | 38.75 | 0.55 | 38.74 | 0.55 | -0 | -0 | 0 | SymX | 4.16302e-08 | -19.0535 | 30 | 0.01 | 0.5255 | 0.805225 | 1.43181 | 1.27838e-07 | 0.01
[I][2017-05-06 23:12:46] 20 | 37.5 | 0.55 | 37.49 | 0.55 | -0 | -0 | 0 | SymX | 0 | 1.9284 | 31 | 0.01 | 0.928721 | -0.0532872 | 1.01391 | 1.34224e-07 | 0.01
[I][2017-05-06 23:12:46] 20 | 36 | 0.55 | 35.99 | 0.55 | -0 | -0 | -0 | SymX | 0 | 4.68165 | 32 | 0.01 | 1.03626 | -0.119408 | 1.15556 | 1.56332e-07 | 0.01
[I][2017-05-06 23:12:46] 20 | 34.5 | 0.55 | 34.49 | 0.55 | -0 | -0 | -0 | SymX | 0 | -19.6707 | 33 | 0.01 | 0.520235 | 0.743976 | 1.5437 | 3.01473e-07 | 0.01
[I][2017-05-06 23:12:46] 20 | 33 | 0.55 | 32.99 | 0.55 | -0 | -0 | -0 | SymX | 0 | -13.3704 | 34 | 0.01 | -0.205975 | 0.415264 | 5.76802 | 8.70471e-06 | 0.01
[I][2017-05-06 23:12:46] 25 | 40 | 0.55 | 40 | 0.55 | -0 | -0 | 0 | SymX | 90.0062 | -48.9186 | 29 | 2.24155e-05 | -1.00318 | 4.72389 | 5.5141 | 5.6321e-07 | 2.24155e-05
[I][2017-05-06 23:12:46] 25 | 38.75 | 0.55 | 38.74 | 0.55 | -0 | -0 | 0 | SymX | 4.16304e-08 | -53.0967 | 30 | 0.01 | 0.756289 | 2.14018 | 4.48193 | 3.66473e-07 | 0.01
[I][2017-05-06 23:12:46] 25 | 37.5 | 0.55 | 37.49 | 0.55 | -0 | -0 | 0 | SymX | 0 | 23.3246 | 31 | 0.01 | 1.2998 | -0.587179 | 2.96761 | 3.03209e-07 | 0.01
[I][2017-05-06 23:12:46] 25 | 36 | 0.55 | 35.99 | 0.55 | -0 | -0 | -0 | SymX | 0 | -3.59143 | 32 | 0.01 | 1.27634 | 0.100217 | 2.53396 | 3.48925e-07 | 0.01
[I][2017-05-06 23:12:46] 25 | 34.5 | 0.55 | 34.49 | 0.55 | -0 | -0 | -0 | SymX | 0 | -28.3956 | 33 | 0.01 | 0.789438 | 0.975905 | 3.09863 | 5.58755e-07 | 0.01
[I][2017-05-06 23:12:46] 25 | 33 | 0.55 | 32.99 | 0.55 | -0 | -0 | -0 | SymX | 0 | -18.4521 | 34 | 0.01 | -0.243335 | 0.573019 | 7.99231 | 4.70994e-05 | 0.01
[I][2017-05-06 23:12:46] 30 | 39.9997 | 0.55 | 39.9994 | 0.55 | -0 | -0 | 0 | SymX | 89.9965 | -106.291 | 29 | 0.000287085 | -1.82038 | 10.3295 | 11.8867 | 1.73204e-05 | 0.000287085
[I][2017-05-06 23:12:46] 30 | 38.7498 | 0.55 | 38.7398 | 0.55 | -0 | -0 | 0 | SymX | 4.16339e-08 | -109.003 | 30 | 0.01 | 0.968778 | 4.46777 | 8.80727 | 7.69938e-06 | 0.01
[I][2017-05-06 23:12:46] 30 | 37.4998 | 0.55 | 37.4898 | 0.55 | -0 | -0 | 0 | SymX | 0 | 35.5174 | 31 | 0.01 | 1.83167 | -0.902036 | 4.89465 | 1.66993e-06 | 0.01
[I][2017-05-06 23:12:46] 30 | 35.9998 | 0.55 | 35.9898 | 0.55 | -0 | -0 | -0 | SymX | 0 | -1.76341 | 32 | 0.01 | 2.00229 | 0.0483605 | 4.16064 | 7.71252e-07 | 0.01
[I][2017-05-06 23:12:46] 30 | 34.4998 | 0.55 | 34.4898 | 0.55 | -0 | -0 | -0 | SymX | 0 | -38.1104 | 33 | 0.01 | 1.16777 | 1.29631 | 4.36069 | 1.07519e-06 | 0.01
