0.55	0	5
0.55	0	10
0.55	0	15
0.55	0	20
0.55	0	25
0.55	0	30
0.55	0	35
0.55	0	40
0.55	0	45
0.55	0	50
0.55	0	55
0.55	0	60
0.55	0	65
0.55	0	70
0.55	0	75
0.55	0	80
0.55	0	85
0.55	0	90
0.55	0	95
0.55	0	100
0.55	0	105
0.55	0	110
0.55	0	115
0.55	0	120
0.55	0	125
0.55	0	130
0.55	0	135
0.55	0	140
0.55	0	145
0.55	0	150
0.55	0	155
0.55	0	160
0.55	0	165
0.55	0	170
0.55	0	175
0.55	0	180
0.55	0	185
0.55	0	190
0.55	0	195
0.55	0	200
0.55	0	205
0.55	0	210
0.55	0	215
0.55	0	220
0.55	0	225
0.55	0	230
0.55	0	235
0.55	0	240
0.55	0	245
0.55	0	250
0.55	0	255
0.55	0	260
0.55	0	265
0.55	0	270
0.55	0	275
0.55	0	280
0.55	0	285
0.55	0	290
0.55	0	295
0.55	0	300
0.55	0	305
0.55	0	310
0.55	0	315
0.55	0	320
0.55	0	325
0.55	0	330
0.55	0	335
0.55	0	340
0.55	0	345
0.55	0	350
0.55	0	355
0.55	0	360
0.55	0	365
0.55	0	370
0.55	0	375
0.55	0	380
0.55	0	385
0.55	0	390
0.55	0	395
0.55	0	400
0.55	0	405
0.55	0	410
0.55	0	415
0.55	0	420
0.55	0	425
0.55	0	430
0.55	0	435
0.55	0	440
0.55	0	445
0.55	0	450
0.55	0	455
0.55	0	460
0.55	0	465
0.55	0	470
0.55	0	475
0.55	0	480
0.55	0	485
0.55	0	490
0.55	0	495
0.55	0	500
0.55	0	505
0.55	0	505.5
0.55	0	506
0.55	0	506.5
0.55	0	507
0.55	0	507.5
0.55	0	508
0.55	0	508.5
0.55	0	509
0.55	0	509.5
0.55	0	510
0.55	0	510.5
0.55	0	511
0.55	0	511.5
0.55	0	512
0.55	0	512.5
0.55	0	513
0.55	0	513.5
0.55	0	514
0.55	0	514.5
0.55	0	515
0.55	0	515.5
0.55	0	516
0.55	0	516.5
0.55	0	517
0.55	0	517.5
0.55	0	518
0.55	0	518.5
0.55	0	519
0.55	0	519.5
0.55	0	520
0.55	0	520.5
0.55	0	521
0.55	0	521.5
0.55	0	522
0.55	0	522.5
0.55	0	523
0.55	0	523.5
0.55	0	524
0.55	0	524.5
0.55	0	525
0.55	0	525.5
0.55	0	526
0.55	0	526.5
0.55	0	527
0.55	0	527.5
0.55	0	528
0.55	0	528.5
0.55	0	529
0.55	0	529.5
0.55	0	530
0.55	0	530.5
0.55	0	531
0.55	0	531.5
0.55	0	532
0.55	0	532.5
0.55	0	533
0.55	0	533.5
0.55	0	534
0.55	0	534.5
0.55	0	535
0.55	0	535.5
0.55	0	536
0.55	0	536.5
0.55	0	537
0.55	0	537.5
0.55	0	538
0.55	0	538.5
0.55	0	539
0.55	0	539.5
0.55	0	540
0.55	0	540.5
0.55	0	541
0.55	0	541.5
0.55	0	542
0.55	0	542.5
0.55	0	543
0.55	0	543.5
0.55	0	544
0.55	0	544.5
0.55	0	545
0.55	0	545.5
0.55	0	546
0.55	0	546.5
0.55	0	547
0.55	0	547.5
0.55	0	548
0.55	0	548.5
0.55	0	549
0.55	0	549.5
0.55	0	550
0.55	0	550.5
0.55	0	551
0.55	0	551.5
0.55	0	552
0.55	0	552.5
0.55	0	553
0.55	0	553.5
0.55	0	554
0.55	0	554.5
0.55	0	555
0.55	0	555.5
0.55	0	556
0.55	0	556.5
0.55	0	557
0.55	0	557.5
0.55	0	558
0.55	0	558.5
0.55	0	559
0.55	0	559.5
0.55	0	560
0.55	0	560.5
0.55	0	561
0.55	0	561.5
0.55	0	562
0.55	0	562.5
0.55	0	563
0.55	0	563.5
0.55	0	564
0.55	0	564.5
0.55	0	565
0.55	0	565.5
0.55	0	566
0.55	0	566.5
0.55	0	567
0.55	0	567.5
0.55	0	568
0.55	0	568.5
0.55	0	569
