[I][2017-04-19 20:19:43] time, dt, force, avg_sigma, sqr, press, max_y, max_x, err, nK, dV, Sqr
[I][2017-04-19 20:19:47] 1.025 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:47] 1.05 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:47] 1.075 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:48] 1.1 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:48] 1.125 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:48] 1.15 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:48] 1.175 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:48] 1.2 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:48] 1.225 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:48] 1.25 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:49] 1.275 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:49] 1.3 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:49] 1.325 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:49] 1.35 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:49] 1.375 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:49] 1.4 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:49] 1.425 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:50] 1.45 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:50] 1.475 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:50] 1.5 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:51] 1.525 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:51] 1.55 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:51] 1.575 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:51] 1.6 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:52] 1.625 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:52] 1.65 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:52] 1.675 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:52] 1.7 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:52] 1.725 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:53] 1.75 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:53] 1.775 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:53] 1.8 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:53] 1.825 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:54] 1.85 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:54] 1.875 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:54] 1.9 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:54] 1.925 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:54] 1.95 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:54] 1.975 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:54] 2 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:55] 2.025 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:55] 2.05 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:55] 2.075 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:55] 2.1 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:55] 2.125 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:56] 2.15 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
[I][2017-04-19 20:19:56] 2.175 | 0.025 | nan | -nan(ind) | 0 | nan | 0 | 0 | nan | 24 | nan | nan | nan | 117822 | 
